YEAR,DOY,T2M,QV2M,PRECTOTCORR,WS2M,PS,RH2M,T2MDEW
2000,1,18.98,9.25,0.0,3.01,91.82,67.62,11.41
2000,2,18.81,8.73,0.0,2.84,91.83,65.63,10.44
2000,3,19.66,8.94,0.0,2.49,91.74,64.36,10.69
2000,4,20.43,9.48,0.0,2.29,91.72,64.17,11.73
2000,5,20.74,10.21,0.01,2.43,91.73,66.64,12.82
2000,6,21.67,11.5,0.13,2.71,91.72,69.34,14.78
2000,7,21.1,10.59,0.01,3.23,91.75,67.14,13.48
2000,8,20.88,10.53,0.0,3.34,91.75,67.78,13.42
2000,9,21.37,11.26,0.07,3.23,91.76,69.42,14.44
2000,10,21.94,12.24,0.31,3.22,91.72,72.06,15.64
2000,11,22.3,12.57,0.07,3.16,91.71,71.92,16.14
2000,12,22.57,11.85,0.03,2.72,91.72,67.6,15.21
2000,13,23.1,11.47,0.03,2.13,91.72,65.07,14.59
2000,14,23.18,10.68,0.0,1.88,91.64,61.3,13.42
2000,15,22.68,10.73,0.0,1.68,91.72,60.14,13.73
2000,16,22.23,9.5,0.0,3.03,91.78,58.65,11.56
2000,17,20.85,7.65,0.0,3.03,91.95,53.32,8.28
2000,18,20.57,7.64,0.0,3.0,92.03,54.17,8.34
2000,19,21.32,8.22,0.0,2.47,91.97,52.93,9.74
2000,20,21.48,8.0,0.0,1.86,91.82,54.57,8.73
2000,21,21.61,7.69,0.0,1.93,91.84,53.17,8.32
2000,22,21.5,7.42,0.0,2.08,91.88,53.09,7.33
2000,23,21.69,7.42,0.0,1.31,91.83,50.18,7.91
2000,24,21.52,7.69,0.0,2.24,91.88,49.48,8.67
2000,25,21.73,8.96,0.0,2.86,91.98,58.15,10.61
2000,26,21.1,8.63,0.0,3.01,92.0,57.86,9.92
2000,27,20.86,8.36,0.0,3.51,91.95,57.26,9.57
2000,28,21.68,8.06,0.0,3.19,91.94,53.95,8.89
2000,29,22.08,7.89,0.0,2.58,92.0,50.34,9.0
2000,30,21.89,7.26,0.0,2.78,92.06,49.44,7.26
2000,31,21.34,6.8,0.0,2.46,92.02,49.47,5.87
2000,32,21.15,6.51,0.0,2.24,91.88,48.81,5.0
2000,33,21.71,7.33,0.0,2.03,91.85,51.68,7.19
2000,34,23.6,9.87,0.02,2.91,91.96,58.63,11.77
2000,35,24.47,11.35,0.36,3.25,91.86,61.0,14.29
2000,36,26.07,11.73,0.01,1.52,91.7,56.81,14.81
2000,37,25.46,11.26,0.32,1.39,91.68,54.66,14.24
2000,38,25.83,10.71,0.1,0.69,91.63,51.33,13.45
2000,39,25.99,11.38,0.16,1.96,91.58,53.47,14.43
2000,40,25.53,11.08,0.09,1.9,91.68,52.94,14.17
2000,41,25.81,11.1,0.0,2.51,91.71,52.6,14.17
2000,42,25.65,11.35,0.0,1.68,91.7,53.7,14.55
2000,43,25.92,11.2,0.0,1.95,91.65,51.79,14.32
2000,44,24.8,10.58,0.0,3.47,91.61,53.09,13.36
2000,45,23.81,8.45,0.0,3.59,91.67,48.76,9.74
2000,46,23.55,7.74,0.0,3.98,91.76,47.46,7.71
2000,47,23.78,8.61,0.0,3.25,91.79,50.72,9.96
2000,48,24.92,9.04,0.0,1.61,91.61,49.45,10.74
2000,49,25.44,8.07,0.0,1.85,91.57,41.01,9.18
2000,50,25.67,6.55,0.0,1.23,91.53,32.16,6.25
2000,51,25.28,7.83,0.01,1.39,91.49,40.17,8.64
2000,52,25.57,9.55,0.03,2.11,91.53,45.96,11.82
2000,53,25.15,11.73,0.02,2.73,91.62,56.8,15.01
2000,54,24.86,12.9,1.67,3.27,91.64,63.95,16.48
2000,55,24.81,14.39,5.19,2.45,91.69,70.81,18.23
2000,56,23.55,15.01,17.29,2.31,91.64,77.09,18.95
2000,57,22.22,15.64,19.28,1.83,91.48,85.74,19.6
2000,58,21.62,14.75,6.68,3.52,91.58,84.21,18.67
2000,59,23.34,13.96,0.73,4.01,91.78,74.47,17.84
2000,60,23.15,11.89,0.04,3.6,91.83,66.02,15.3
2000,61,22.18,7.0,0.0,3.13,91.8,46.16,6.35
2000,62,21.64,6.1,0.0,1.98,91.78,39.67,5.02
2000,63,22.53,5.95,0.0,2.43,91.79,39.19,4.36
2000,64,23.02,6.21,0.0,2.53,91.77,37.6,5.35
2000,65,22.84,5.92,0.0,2.79,91.69,37.14,4.54
2000,66,22.24,6.04,0.0,1.79,91.64,40.46,4.57
2000,67,22.15,8.4,0.0,1.57,91.72,53.52,9.69
2000,68,24.8,11.5,0.0,1.31,91.7,60.0,14.49
2000,69,25.66,11.75,0.0,1.73,91.64,57.81,14.91
2000,70,26.11,11.48,0.0,1.88,91.62,55.86,14.48
2000,71,26.15,12.57,0.0,1.71,91.68,58.56,16.1
2000,72,27.27,12.23,0.0,1.93,91.59,52.87,15.66
2000,73,26.65,12.41,0.0,1.62,91.53,54.13,15.91
2000,74,26.58,11.16,0.0,1.27,91.62,49.99,14.24
2000,75,26.95,10.46,0.0,1.17,91.65,46.11,13.16
2000,76,27.0,10.71,0.0,1.83,91.58,48.58,13.55
2000,77,27.16,10.35,0.0,2.6,91.5,46.01,13.07
2000,78,27.6,10.76,0.0,2.36,91.56,46.35,13.67
2000,79,27.65,10.16,0.0,2.38,91.62,43.8,12.83
2000,80,27.84,9.31,0.0,3.02,91.56,39.9,11.45
2000,81,27.15,8.67,0.0,2.69,91.65,40.68,10.13
2000,82,26.38,8.8,0.0,3.24,91.71,45.07,9.87
2000,83,25.95,8.7,0.0,3.59,91.69,46.13,9.75
2000,84,26.48,10.2,0.0,3.44,91.71,50.59,12.49
2000,85,26.78,7.27,0.0,3.38,91.73,38.13,6.41
2000,86,26.61,7.79,0.05,3.76,91.72,39.25,8.22
2000,87,26.83,8.16,0.0,3.75,91.7,37.68,9.42
2000,88,26.33,9.04,0.0,3.4,91.67,43.48,10.96
2000,89,26.96,8.31,0.0,3.35,91.67,38.06,9.72
2000,90,27.26,7.07,0.0,2.65,91.58,33.46,7.18
2000,91,27.54,7.76,0.0,2.95,91.47,36.11,8.31
2000,92,27.24,10.49,2.97,2.98,91.39,47.17,12.96
2000,93,27.2,13.97,0.07,3.03,91.45,60.92,17.7
2000,94,26.05,15.39,8.05,2.63,91.53,69.75,19.26
2000,95,26.83,13.87,0.26,1.94,91.51,62.72,17.53
2000,96,27.43,11.42,0.0,2.44,91.5,52.0,14.1
2000,97,26.95,9.73,0.0,2.67,91.48,45.41,11.93
2000,98,27.1,10.69,0.02,3.01,91.66,52.11,12.82
2000,99,27.34,9.76,0.0,2.23,91.72,47.07,11.45
2000,100,28.82,8.47,0.07,2.23,91.57,35.87,9.83
2000,101,29.88,10.58,0.85,1.79,91.47,39.24,13.38
2000,102,30.75,9.93,0.36,1.94,91.41,34.64,12.49
2000,103,31.29,10.08,1.02,1.49,91.4,34.28,12.63
2000,104,28.46,14.94,15.29,1.93,91.39,58.19,18.75
2000,105,27.23,14.34,2.1,2.1,91.34,60.43,18.13
2000,106,28.02,14.72,3.68,1.74,91.4,60.18,18.5
2000,107,28.65,14.4,0.68,1.39,91.48,56.71,18.15
2000,108,27.62,14.48,10.57,1.66,91.47,59.14,18.22
2000,109,27.26,14.24,1.5,1.37,91.56,60.08,17.99
2000,110,27.7,12.1,0.0,1.89,91.61,52.1,15.41
2000,111,27.51,12.41,0.0,1.84,91.54,52.58,15.84
2000,112,27.5,12.56,0.37,1.8,91.5,53.29,16.03
2000,113,28.46,10.3,0.0,2.01,91.49,43.84,12.76
2000,114,28.96,11.04,0.61,1.76,91.44,44.35,13.94
2000,115,26.7,13.46,0.17,2.52,91.54,57.02,17.21
